"title","location","job_url"
"Manufacturing Processing Engineer","Dallas, TX","https://www.glassdoor.com/job-listing/j?jl=1009373400597"
"Civil Engineer, EIT","Plano, TX","https://www.glassdoor.com/job-listing/j?jl=1009372441918"
"Surveillance Sales Engineer","Lewisville, TX","https://www.glassdoor.com/job-listing/j?jl=1009373149857"
"Senior PLC Progrmmer","Dallas, TX","https://www.glassdoor.com/job-listing/j?jl=1009367597125"
"Senior Survey Technician","Farmers Branch, TX","https://www.glassdoor.com/job-listing/j?jl=1009365963227"
"Senior Utility Engineer/Coordinator","Dallas, TX","https://www.glassdoor.com/job-listing/j?jl=1009363255347"
"Inside HVAC/VRF Technical Support Engineer","Richardson, TX","https://www.glassdoor.com/job-listing/j?jl=1009361962385"
"Lead Senior Linux/Network Engineer","Irving, TX","https://www.glassdoor.com/job-listing/j?jl=1009359748999"
"Principal Storage Engineer (Onsite)","Richardson, TX","https://www.glassdoor.com/job-listing/j?jl=1009317496419"
"Building Engineer","Dallas, TX","https://www.glassdoor.com/job-listing/j?jl=1009306725324"
"Operating Engineer","Dallas, TX","https://www.glassdoor.com/job-listing/j?jl=1009288559467"
"Transportation/Highway Engineer","Dallas, TX","https://www.glassdoor.com/job-listing/j?jl=1009270555921"
"Controls Engineer","Dallas-Fort Worth","https://www.glassdoor.com/job-listing/j?jl=1009194891146"
"Chief Engineer - Mission Systems","Plano, TX","https://www.glassdoor.com/job-listing/j?jl=1009130238653"
"Electrical Engineer","Dallas, TX","https://www.glassdoor.com/job-listing/j?jl=1009059120753"
